paper_id,field,old,new,reason
P11_HF_2021_CHIR9,seeding_density_cells_per_well,5000,2500,"Fig 3A carries a printed vertical label ""Starting cells: 2500"" (Fig 3D, the BMP-inhibition panel, is labeled 7500). p.e5 layered protocol: ""2500 hPSCs were seeded directly into ultra-low-attachment 96-well plates"". 5000 is the CM-only cardioid protocol of Figs 1-2; 7500 is the KO/BMP-inhibition experiments."
P11_HF_2021_CHIR9,collection_day,15,None,No day-15 timepoint exists in the paper. Every day token: d1.5 d2.5 d3.5 d5 d5.5 d7 d7.5 d8.5 d10 d14 d21 d27. Analysis day for these arms is d7.5 (Fig 3A imaging; Fig 5F/F' FACS); the diameter is a d3.5 cardiac-mesoderm measurement (Fig 3B). Left blank because one arm spans two analysis days - set to 7.5 if the schema needs a single value.
P11_HF_2021_CHIR9,beat_rate_method,calcium_imaging,video,"p.e7: ""videos were analyzed with a published algorithm (Huebsch et al., 2015) to determine contraction velocity and beating rate""; Fig S1H legend says the same. Fluo-4 calcium imaging produced transients/ISI only (Fig S1G). NB: no beat rate is reported for THESE arms - Fig S1H (~48 bpm 3D, ~44.5 bpm 2D) is the CM-only cardioid of Fig 1, so beat_rate_bpm stays blank and this records the paper method only."
P11_HF_2021_VEGF,cell_line,"WTC (hiPSC), H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","WTC (hiPSC); validated in H9 (hESC), H7 (hESC), IMBA 176/177/178 (hiPSC); plus WTC Allen Institute reporter lines (MYL7-GFP, TNNI1-GFP, MYH10-GFP, MYL2-GFP, TTN-GFP, ATP2A2-GFP, ACTB-GFP)","Flat list implied all lines were used for these arms. p3300: self-assembly was ""robust in the WTC hiPSC line... the widely used hESC lines H9 and H7, as well as in three hiPSC lines"" - WTC is the working line, the rest are validation. All 7 Allen reporters + H9/H7/176-1/177-8/178-5 confirmed in the Key Resources Table, p.e3."
P11_HF_2021_VEGF,wnt_inhibitor_dose_um,2,5,"p.e5: ""IWP2 (5mM, Tocris, #3533)"". The PDF text layer renders u as m - same layer prints CHIR ""8mM and 4 mM for WTC cells"" (p.e6) where Fig 3C prints ""8 uM CHIR99021"", so mM == uM here. This is the only IWP2 dose in the paper; the 2 most likely came from Fig 3H ""2 uM CHIR99021"" (a WNT re-activation control) or from IWR-1 (1 uM)."
P11_HF_2021_VEGF,wnt_inhibitor_days,D3-D5,D1.5-D5.5,"Fig 1A timeline (p3300): the ""Wnt inh."" bar starts exactly at the d1.5 tick and ends exactly at the d5.5 tick. p.e5: BFIIWPRa ""for 4 days"" after the 36-40h induction (1.5+4=5.5). Same window drawn in Fig 5F and 5A' (p3307). D3-D5 was a generic monolayer-protocol default."
P11_HF_2021_VEGF,bmp4,no,yes,"Fig 1A BMP4 bar spans d0->d7.5; p.e5 BMP4 is in FLyABCH (induction), BFIIWPRa (cardiac mesoderm) and BFI (CM specification)."
P11_HF_2021_VEGF,bmp4_dose_ngml,None,10,"p.e5: BMP4 (10 ng/ml, R&D Systems RD-314-BP-050), same dose at every stage."
P11_HF_2021_VEGF,activin_a,no,yes,"Fig 1A Activin A bar (d0->d1.5, mesoderm induction only); p.e5 FLyABCH contains Activin A."
P11_HF_2021_VEGF,activin_dose_ngml,None,50,"p.e5: ""Activin A (50 ng/ml)"". Fig 5F legend (p3308) states ""high activin [50 ng/mL]"" for the intermediate-WNT+VEGF arm. NOT stated per CHIR dose in Fig 3 - 50 is the protocol default; the optimized low-activin ventricular condition uses 4 ng/ml."
P11_HF_2021_VEGF,ra,no,yes,Fig 1A Retinoic acid bar (d1.5->d5.5); p.e5 BFIIWPRa contains retinoic acid.
P11_HF_2021_VEGF,ra_dose_um,None,0.5,"p.e5: ""retinoic acid (0.5 mM [=0.5 uM], Sigma Aldrich, #R2625) for 4 days"". Not stated per arm; the paper's optimized ventricular condition instead uses RA50 = 0.05 uM (Fig 1F/1H), so 0.5 is the default-protocol value."
P11_HF_2021_VEGF,ra_timing_days,None,D1.5-D5.5,"Fig 1A: the RA bar is coincident with the Wnt-inh bar (d1.5->d5.5); p.e5 ""for 4 days"" after the 36-40h induction. RA and IWP2 are both in BFIIWPRa."
P11_HF_2021_VEGF,seeding_density_cells_per_well,5000,2500,"Fig 3A carries a printed vertical label ""Starting cells: 2500"" (Fig 3D, the BMP-inhibition panel, is labeled 7500). p.e5 layered protocol: ""2500 hPSCs were seeded directly into ultra-low-attachment 96-well plates"". 5000 is the CM-only cardioid protocol of Figs 1-2; 7500 is the KO/BMP-inhibition experiments."
P11_HF_2021_VEGF,collection_day,15,None,No day-15 timepoint exists in the paper. Every day token: d1.5 d2.5 d3.5 d5 d5.5 d7 d7.5 d8.5 d10 d14 d21 d27. Analysis day for these arms is d7.5 (Fig 3A imaging; Fig 5F/F' FACS); the diameter is a d3.5 cardiac-mesoderm measurement (Fig 3B). Left blank because one arm spans two analysis days - set to 7.5 if the schema needs a single value.
P11_HF_2021_VEGF,beat_rate_method,calcium_imaging,video,"p.e7: ""videos were analyzed with a published algorithm (Huebsch et al., 2015) to determine contraction velocity and beating rate""; Fig S1H legend says the same. Fluo-4 calcium imaging produced transients/ISI only (Fig S1G). NB: no beat rate is reported for THESE arms - Fig S1H (~48 bpm 3D, ~44.5 bpm 2D) is the CM-only cardioid of Fig 1, so beat_rate_bpm stays blank and this records the paper method only."
P11_HF_2021_CHIR4,cm_fraction_pct,30,None,"Removed: the paper contains NO CM-fraction quantification per CHIR dose. Fig 3A is MYL7-GFP images only (no bar graph, no percentages); Fig 3B quantifies diameter, not CM%. The only CM fractions in the paper are ~90% TNNI1-GFP+ for the standard cardioid protocol (Fig 1D, representative plot 89.9%) and 41.07% MYL7-GFP+ in the +VEGF arm (Fig 5F'). CONSEQUENCE: this arm loses its yield and drops out of construct_comparability=1 (reason 'eligible yield')."
P11_HF_2021_CHIR4,chamber_area_pct,~5,None,"Removed: no per-CHIR cavity-area quantification exists. Fig 3 has no cavity-area panel. The paper's only 'cavity area as % of cardioid area' figure is Fig 4E (p3306): WT ~25% vs HAND1 KO ~10%, H9 line at CHIR 3 uM, d3.5 - a different experiment, and the removed values match neither."
P11_HF_2021_CHIR5,cm_fraction_pct,75,None,"Removed: the paper contains NO CM-fraction quantification per CHIR dose. Fig 3A is MYL7-GFP images only (no bar graph, no percentages); Fig 3B quantifies diameter, not CM%. The only CM fractions in the paper are ~90% TNNI1-GFP+ for the standard cardioid protocol (Fig 1D, representative plot 89.9%) and 41.07% MYL7-GFP+ in the +VEGF arm (Fig 5F'). CONSEQUENCE: this arm loses its yield and drops out of construct_comparability=1 (reason 'eligible yield')."
P11_HF_2021_CHIR5,chamber_area_pct,20,None,"Removed: no per-CHIR cavity-area quantification exists. Fig 3 has no cavity-area panel. The paper's only 'cavity area as % of cardioid area' figure is Fig 4E (p3306): WT ~25% vs HAND1 KO ~10%, H9 line at CHIR 3 uM, d3.5 - a different experiment, and the removed values match neither."
P11_HF_2021_CHIR6,cm_fraction_pct,89,None,"Removed: the paper contains NO CM-fraction quantification per CHIR dose. Fig 3A is MYL7-GFP images only (no bar graph, no percentages); Fig 3B quantifies diameter, not CM%. The only CM fractions in the paper are ~90% TNNI1-GFP+ for the standard cardioid protocol (Fig 1D, representative plot 89.9%) and 41.07% MYL7-GFP+ in the +VEGF arm (Fig 5F'). CONSEQUENCE: this arm loses its yield and drops out of construct_comparability=1 (reason 'eligible yield'). The 89 on CHIR6 is traceable to Fig 1D's 89.9% but that is the standard protocol, not the 6 uM dose."
P11_HF_2021_CHIR6,chamber_area_pct,~30,None,"Removed: no per-CHIR cavity-area quantification exists. Fig 3 has no cavity-area panel. The paper's only 'cavity area as % of cardioid area' figure is Fig 4E (p3306): WT ~25% vs HAND1 KO ~10%, H9 line at CHIR 3 uM, d3.5 - a different experiment, and the removed values match neither."
P11_HF_2021_CHIR9,cm_fraction_pct,40,None,"Removed: the paper contains NO CM-fraction quantification per CHIR dose. Fig 3A is MYL7-GFP images only (no bar graph, no percentages); Fig 3B quantifies diameter, not CM%. The only CM fractions in the paper are ~90% TNNI1-GFP+ for the standard cardioid protocol (Fig 1D, representative plot 89.9%) and 41.07% MYL7-GFP+ in the +VEGF arm (Fig 5F'). CONSEQUENCE: this arm loses its yield and drops out of construct_comparability=1 (reason 'eligible yield')."
P11_HF_2021_CHIR9,chamber_area_pct,10,None,"Removed: no per-CHIR cavity-area quantification exists. Fig 3 has no cavity-area panel. The paper's only 'cavity area as % of cardioid area' figure is Fig 4E (p3306): WT ~25% vs HAND1 KO ~10%, H9 line at CHIR 3 uM, d3.5 - a different experiment, and the removed values match neither."
P11_HF_2021_VEGF,ec_marker,CD31_NKX25,CDH5,"The 53% is CDH5-dTomato by FACS, not CD31 and never NKX2-5. Fig 5F' (p3307) labels the bar ""EC-Tomato 53.2% +/- 1.1""; Fig S4D legend: ""MYL7-GFP/CDH5-Tomato iPSC (WTC) line""; text p3310: ""41% (MYL7+) to 53% (CDH5+)"". PECAM1/CD31 appears only as an immunostain, and NKX2-5 is never used as an EC marker in this paper."
P11_HF_2021_CHIR4,cm_fraction_pct,30,NR,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction is reported for any CHIR dose arm. The only CM percentages in the paper are 90% (2D monolayer, cited from prior work) and 41% MYL7+ / 53% CDH5+ (VEGF arm, Fig 5F). The prior value was estimated from representative images."
P11_HF_2021_CHIR5,cm_fraction_pct,75,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported for this arm; see CHIR4.
P11_HF_2021_CHIR6,cm_fraction_pct,89,NR,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported; the 41.07% value belongs to the separate VEGF arm, not CHIR6."
P11_HF_2021_CHIR9,cm_fraction_pct,40,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: the paper states the highest WNT dose gave cavity formation without CM specification; no numeric fraction is reported.
P11_HF_2021_CHIR4,cm_fraction_method,reporter_GFP,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: MYL7-GFP imaging is qualitative for these arms; no cell-fraction assay is reported.
P11_HF_2021_CHIR5,cm_fraction_method,reporter_GFP,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: as CHIR4.
P11_HF_2021_CHIR6,cm_fraction_method,reporter_GFP,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: as CHIR4.
P11_HF_2021_CHIR9,cm_fraction_method,reporter_GFP,NR,blinded second annotation (codebook v1.0) + source re-check; adjudicated: as CHIR4.
P10_FE_2022_RA_neg,cm_fraction_pct,NR,27.2,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: recovered from Supplementary Fig. 1b (flow cytometry, ACTN2-eGFP+). The paper prints three replicates (30.8 / 29.1 / 21.6) and no aggregate; the recorded value is their mean."
P10_FE_2022_RA_pos,cm_fraction_pct,NR,18.2,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: recovered from Supplementary Fig. 1b; replicates 11.4 / 31.5 / 11.8, recorded value is their mean."
P10_FE_2022_RA_neg,cm_fraction_method,NR,flow,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: Cardiomyocyte percentages in organoids were quantified with flow cytometry, using ACTN2-eGFP expression."
P10_FE_2022_RA_pos,cm_fraction_method,NR,flow,blinded second annotation (codebook v1.0) + source re-check; adjudicated: as RA_neg.
P10_FE_2022_RA_neg,construct_comparability,0,1,blinded second annotation (codebook v1.0) + source re-check; adjudicated: ACTN2-eGFP is a pan-CM readout; the regional_identity_spec axis requires a subtype fraction to be the reported quantity.
P10_FE_2022_RA_pos,construct_comparability,0,1,blinded second annotation (codebook v1.0) + source re-check; adjudicated: pan-CM ACTN2-eGFP readout under an atrial-directed protocol; the subtype axis does not apply.
P215_ZHOU_2023_1,construct_comparability,0,1,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: in-place-differentiated suspension organoid with a labelled TNNT2/MYH6 double-positive flow gate (78.1%, Fig 2F); the prior construct-scope exclusion was over-broad."
P04_ER_2022_3D_D50,construct_comparability,1,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: the monolayer was differentiated to day 15, then dissociated and reaggregated, so the CMs are a seeded input rather than an in-place differentiation yield."
P11_HF_2021_CHIR4,construct_comparability,1,0,blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported.
P11_HF_2021_CHIR5,construct_comparability,1,0,blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported.
P11_HF_2021_CHIR6,construct_comparability,1,0,blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported.
P11_HF_2021_CHIR9,construct_comparability,1,0,blinded second annotation (codebook v1.0) + source re-check; adjudicated: no numeric CM fraction reported.
P15_SO_2021_CM,construct_comparability,1,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: CM-CO is reaggregated from day-11 pre-differentiated cardiomyocytes, a seeded input. The sibling CMC-CO arm, built from day-4 cardiac mesoderm that differentiates in the construct, remains comparable."
P267_ZHANG_2022_2,construct_comparability,1,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: MCO_Mix is assembled from separately differentiated CM, EC and SMC populations at a 2:1:1 ratio."
P268_KNZEL_2022_1,construct_comparability,1,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: the organoid self-assembles after 14 days of 2D cardiac differentiation, so the CMs are seeded rather than differentiated in place."
P04_ER_2022_3D_D85,construct_failure_axis,not_primary,defined_input_ratio,blinded second annotation (codebook v1.0) + source re-check; adjudicated: same construct as the D50 arm; no day-85 CM fraction is reported.
P06_HO_2021_RA_toxic,construct_failure_axis,toxicant_perturbation,substrate_2D_denominator,blinded second annotation (codebook v1.0) + source re-check; adjudicated: the frozen priority order places the substrate/denominator axis above toxicant perturbation.
P25_RI_2020_infarct,construct_failure_axis,disease_or_KO,defined_input_ratio,blinded second annotation (codebook v1.0) + source re-check; adjudicated: a 50% hiPSC-CM / 50% non-myocyte assembly input; the input-ratio axis outranks disease in the frozen priority order.
P223_ZHANG_2026_1,construct_failure_axis,none,regional_identity_spec,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: SHOX2+ cTnT+ is a sinoatrial-node subtype fraction, not a pan-CM yield."
P223_ZHANG_2026_2,construct_failure_axis,none,regional_identity_spec,blinded second annotation (codebook v1.0) + source re-check; adjudicated: SHOX2+ cTnT+ subtype fraction.
P223_ZHANG_2026_3,construct_failure_axis,none,regional_identity_spec,blinded second annotation (codebook v1.0) + source re-check; adjudicated: SHOX2+ cTnT+ subtype fraction.
P57_SILVER_2023_2,construct_failure_axis,toxicant_perturbation,no_value_reported,blinded second annotation (codebook v1.0) + source re-check; adjudicated: the paper reports cardiac marker expression by ddPCR and Western blot but no CM cell fraction.
CODEBOOK,failure_axis,not defined,no_value_reported,Codebook v1.1: the blinded annotation identified arms in an eligible construct that report no numeric CM fraction and therefore matched no existing failure axis. A new primary code was added; it applies to the four P11 CHIR arms and P57.
P17_KO_2024_PGDHO,construct_comparability,0,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: the annotator proposed comparable because an isogenic control exists in the dataset. Original retained: the reported 20% is the disease effect itself (the main effects of PGD were a significant decrease in CMs), not a protocol yield."
P02_BR_2022_RA_only,construct_comparability,0,0,"blinded second annotation (codebook v1.0) + source re-check; adjudicated: the annotator proposed comparable. Original retained: the arm is a PE-induction condition whose intended output is epicardial, consistent with the sibling PE arm."
